id	audio	n_frames	tgt_text	speaker	tgt_lang
ted_1096_0	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:2792651:70608	65119	Back in New York, I am the head of development for a non-profit called Robin Hood.	spk.1096	en
ted_1096_1	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:1375658:80914	82240	When I'm not fighting poverty, I'm fighting fires as the assistant captain of a volunteer fire company.	spk.1096	en
ted_1096_2	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:15034208:131163	129600	Now in our town, where the volunteers supplement a highly skilled career staff, you have to get to the fire scene pretty early to get in on any action.	spk.1096	en
ted_1096_3	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:15008273:25890	24800	I remember my first fire.	spk.1096	en
ted_1096_4	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:3236379:66718	66400	I was the second volunteer on the scene, so there was a pretty good chance I was going to get in.	spk.1096	en
ted_1096_5	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:10994531:90159	89120	But still it was a real footrace against the other volunteers to get to the captain in charge to find out what our assignments would be.	spk.1096	en
ted_1096_6	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:8917277:132380	137599	When I found the captain, he was having a very engaging conversation with the homeowner, who was surely having one of the worst days of her life.	spk.1096	en
ted_1096_7	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:13094800:142349	153440	Here it was, the middle of the night, she was standing outside in the pouring rain, under an umbrella, in her pajamas, barefoot, while her house was in flames.	spk.1096	en
ted_1096_8	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:12678458:297166	293440	The other volunteer who had arrived just before me — let's call him Lex Luther — (Laughter) got to the captain first and was asked to go inside and save the homeowner's dog. The dog! I was stunned with jealousy.	spk.1096	en
ted_1096_9	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:8211047:158186	165920	Here was some lawyer or money manager who, for the rest of his life, gets to tell people that he went into a burning building to save a living creature, just because he beat me by five seconds.	spk.1096	en
